type_nomenclature_code;cd_nomenclature;mnemonique;label_default;definition_default;label_fr;definition_fr;source
CFE_HARVEST_TYPE;rex;recolteExsitu;Récolte Ex situ;Récolte issue d’un jardin;Récolte Ex situ;Récolte issue d’un jardin;conservation_flora_exsitu
CFE_HARVEST_TYPE;rin;recolteInsitu;Récolte In situ;Récolte provenant de la nature;Récolte In situ;Récolte provenant de la nature;conservation_flora_exsitu
CFE_HARVEST_TYPE;indet;indeterminee;Indéterminée;Récolte d'origine indéterminée;Indéterminée;Récolte d'origine indéterminée;conservation_flora_exsitu
CFE_METHOD_SAMPLE;cp;centrePopulation;Au centre de la population;Prélèvement au centre de la population de l'espèce végétale;Au centre de la population;Prélèvement au centre de la population de l'espèce végétale;conservation_flora_exsitu
CFE_METHOD_SAMPLE;rrp;regulierementRepartiPopulation;Régulièrement réparti dans la population;Prélèvement homogène dans la population de l' espèce végétale;Régulièrement réparti dans la population;Prélèvement homogène dans la population de l' espèce végétale;conservation_flora_exsitu
CFE_METHOD_SAMPLE;lltp;longLigneTraversantPopulation;Le long d'une ligne traversant la population;Prélèvement le long d'une ligne traversant la population de l' espèce végétale;Le long d'une ligne traversant la population;Prélèvement le long d'une ligne traversant la population de l' espèce végétale;conservation_flora_exsitu
CFE_HARVEST_MATERIAL;pe;planteEntiere;Plante entière;Une plante entière est un  végétal qui comporte l'ensemble de ses parties;Plante entière;Une plante entière est un  végétal qui comporte l'ensemble de ses parties;conservation_flora_exsitu
CFE_HARVEST_MATERIAL;rh;rhizome;Rhizome;Le rhizome est une tige souterraine pérennante portant racines et tiges aériennes;Rhizome;Le rhizome est une tige souterraine pérennante portant racines et tiges aériennes;conservation_flora_exsitu
CFE_HARVEST_MATERIAL;bul;bulbe;Bulbe;Un bulbe est organe souterrain à tige courte et portant des écailles charnues remplies de réserves nutritives;Bulbe;Un bulbe est organe souterrain à tige courte et portant des écailles charnues remplies de réserves nutritives;conservation_flora_exsitu
CFE_HARVEST_MATERIAL;bb;bulbille;Bulbille;Une bubille est un petit bulbe se formant à la base des écailles d'un bulbe et parfois m^me sur les organes aériens de la plante;Bulbille;Une bubille est un petit bulbe se formant à la base des écailles d'un bulbe et parfois m^me sur les organes aériens de la plante;conservation_flora_exsitu
CFE_HARVEST_MATERIAL;es;eclatSouche;Eclat de souche;Un éclat de souche est un fragment de plante comprenant une partie aérienne et une partie souterraine;Eclat de souche;Un éclat de souche est un fragment de plante comprenant une partie aérienne et une partie souterraine;conservation_flora_exsitu
CFE_HARVEST_MATERIAL;bout;bouture;Bouture;Une bouture est une portion de plante détachée afin d'être plantée et de donner un nouveau pied par bouturage;Bouture;Une bouture est une portion de plante détachée afin d'être plantée et de donner un nouveau pied par bouturage;conservation_flora_exsitu
CFE_HARVEST_MATERIAL;ai;absenceInformation;Absence d'information;L'information n'est pas renseignée;Absence d'information;L'information n'est pas renseignée;conservation_flora_exsitu
CFE_HARVEST_MATERIAL;gr;graine;Graine;La graine est un organe caractéristique des Spermatophytes résultant de la fécondation d'un ovule et contenant embryon et, chez les Angiospermes, albumen, protégé par un ou deux téguments;Graine;La graine est un organe caractéristique des Spermatophytes résultant de la fécondation d'un ovule et contenant embryon et, chez les Angiospermes, albumen, protégé par un ou deux téguments;conservation_flora_exsitu
CFE_HARVEST_MATERIAL;sp;spore;Spore;Une spore est, chez les Embryophytes, une cellule libérée par un sporophyte diploïde engendrant après germination un gamétophyte haploïde;Spore;Une spore est, chez les Embryophytes, une cellule libérée par un sporophyte diploïde engendrant après germination un gamétophyte haploïde;conservation_flora_exsitu
CFE_HARVEST_MATERIAL;prs;prelevementSol;Prélèvement de sol;Un échantillon de terre a été prélevé avec la récolte;Prélèvement de sol;Un échantillon de terre a été prélevé avec la récolte;conservation_flora_exsitu
CFE_FOOT_COUNTING_CLASS;2;11-100;11 à 100 pieds;La station comprend entre 11 et 100 individus;11 à 100 pieds;La station comprend entre 11 et 100 individus;conservation_flora_exsitu
CFE_FOOT_COUNTING_CLASS;3;101-1000;101 à 1000 pieds;La station comprend entre 101 et 1000 individus;101 à 1000 pieds;La station comprend entre 101 et 1000 individus;conservation_flora_exsitu
CFE_FOOT_COUNTING_CLASS;4;1001-10000;1001 à 10000 pieds;La station comprend entre 1001 et 10000 individus;1001 à 10000 pieds;La station comprend entre 1001 et 10000 individus;conservation_flora_exsitu
CFE_FOOT_COUNTING_CLASS;5;10000;> 10000 pieds;La station comprend plus de 10000 individus;> 10000 pieds;La station comprend plus de 10000 individus;conservation_flora_exsitu
CFE_FOOT_COUNTING_CLASS;1;10;<= 10 pieds;La station comprend moins de 10 individus;<= 10 pieds;La station comprend moins de 10 individus;conservation_flora_exsitu
CFE_PHENOLOGY;edev;etatDormanceEtatVegetatif;Etat de Dormance, Etat végétatif (D0);Avant végétation de l'année ou fin de cycle;Etat de Dormance, Etat végétatif;Avant végétation de l'année ou fin de cycle;conservation_flora_exsitu
CFE_PHENOLOGY;dfa;debourrementFeuilleAvant;Débourrement feuille avant (D1);Bourgeon non dormant mais non débourré;Débourrement feuille avant;Bourgeon non dormant mais non débourré;conservation_flora_exsitu
CFE_PHENOLOGY;df;debourrementFeuille;Débourrement feuille (D2);Nouvelles feuilles visibles à travers l’ouverture des écailles du bourgeon;Débourrement feuill;Nouvelles feuilles visibles à travers l’ouverture des écailles du bourgeon;conservation_flora_exsitu
CFE_PHENOLOGY;dfasaf;debourrementFeuilleApresStadeAvantFeuillaison;Débourrement feuille après, et stade avant feuillaison (D3);Déploiement de la feuille;Débourrement feuille après, et stade avant feuillaison;Déploiement de la feuille;conservation_flora_exsitu
CFE_PHENOLOGY;feui;feuillaison;Feuillaison (FE1);Feuille entièrement ouverte au stade initial , ou nouvelles feuilles visibles pour les espèces dont les feuilles ne sont pas pliées;Feuillaison;Feuille entièrement ouverte au stade initial , ou nouvelles feuilles visibles pour les espèces dont les feuilles ne sont pas pliées;conservation_flora_exsitu
CFE_PHENOLOGY;fap;feuillaisonApres;Feuillaison après (FE2);Feuille entièrement ouverte au stade intermédiaire;Feuillaison après;Feuille entièrement ouverte au stade intermédiaire;conservation_flora_exsitu
CFE_PHENOLOGY;pf;pleineFeuille;Pleine feuille (FE3);Feuille entièrement ouverte au stade final;Pleine feuille;Feuille entièrement ouverte au stade final;conservation_flora_exsitu
CFE_PHENOLOGY;frea;feuilleRepousseEteAutomne;Feuille ou repousse d'été ou d'automne (FE4);Repousse d'été (pulmonaires et autres hemicryptophytes, phanerophytes et chaméphytes);Feuille ou repousse d'été ou d'automne;Repousse d'été (pulmonaires et autres hemicryptophytes, phanerophytes et chaméphytes);conservation_flora_exsitu
CFE_PHENOLOGY;10;changementCouleur10;Changement de couleur (début 10%) ou désechement (S1);Quelques feuilles commencent à changer de couleur;Changement de couleur (début 10%) ou désechement;Quelques feuilles commencent à changer de couleur;conservation_flora_exsitu
CFE_PHENOLOGY;50;changementCouleur50;Changement de couleur (moitié 50% ou +) ou désechement (S2);Individus bien colorés;Changement de couleur (moitié 50% ou +) ou désechement;Individus bien colorés;conservation_flora_exsitu
CFE_PHENOLOGY;sen;senescence;Senescence (chute des feuilles pour moitié) (S3);Chute des feuilles en grande partie;Senescence (chute des feuilles pour moitié);Chute des feuilles en grande partie;conservation_flora_exsitu
CFE_PHENOLOGY;ccf;chuteCompleteFeuille;Chute compléte des feuilles (S3);Chute des feuilles quasi complète;Chute compléte des feuilles;Chute des feuilles quasi complète;conservation_flora_exsitu
CFE_PHENOLOGY;mont;montaison;Montaison (M);Allongement des espaces entre-nœuds de la tige dressée florifère;Montaison;Allongement des espaces entre-nœuds de la tige dressée florifère;conservation_flora_exsitu
CFE_PHENOLOGY;bf;boutonFloral;Boutons floraux (FL1-EP1);Epis ou boutons floraux visibles;Boutons floraux;Epis ou boutons floraux visibles;conservation_flora_exsitu
CFE_PHENOLOGY;flo;floraison;Floraison (FL2-EP2);Début d'anthèse, quelques corolles suffisamment ouvertes pour laisser voir l’intérieur de la fleur;Floraison;Début d'anthèse, quelques corolles suffisamment ouvertes pour laisser voir l’intérieur de la fleur;conservation_flora_exsitu
CFE_PHENOLOGY;pflo;Pleine Floraison;Pleine Floraison (FL3-EP3);Majorité des individus en fleur;Pleine Floraison;Majorité des individus en fleur;conservation_flora_exsitu
CFE_PHENOLOGY;ffff;finFloraisonFormationFruit;Fin de floraison et formation des fruits (FR1);La floraison est terminée et les fruits commencent à se former;Fin de floraison et formation des fruits;La floraison est terminée et les fruits commencent à se former;conservation_flora_exsitu
CFE_PHENOLOGY;mf;maturationFruit;Maturation des fruits (FR2);Les fruits sont bien formés mais sont pas encore murs;Maturation des fruits;Les fruits sont bien formés mais sont pas encore murs;conservation_flora_exsitu
CFE_PHENOLOGY;dec;disseminationEnCours;Dissémination en cours (FR3);Les graines commencent à être dispersées;Dissémination en cours;Les graines commencent à être dispersées;conservation_flora_exsitu
CFE_PHENOLOGY;dc;disseminationTerminee;Dissémination terminée (FR4);La dispersion des graines est terminée;Dissémination terminée;La dispersion des graines est terminée;conservation_flora_exsitu
CFE_PHENOLOGY;germ;germination;Germination (G);Début de développement d'une nouvelle plante;Germination;Début de développement d'une nouvelle plante;conservation_flora_exsitu
CFE_PHENOLOGY;lev;levee;Levée (L);La plantule est sevrée de sa dépendance aux réserves de la graine;Levée;La plantule est sevrée de sa dépendance aux réserves de la graine;conservation_flora_exsitu
CFE_FORM;aut;autre;Autre;;Autre;;conservation_flora_exsitu
CFE_FORM;biconv;biconvexe;Biconvexe;En forme de deux surfaces convexes opposées;Biconvex;En forme de deux surfaces convexes opposées;conservation_flora_exsitu
CFE_FORM;circ;circulaire;Circulaire;En forme de cercle;Circulaire;En forme de cercle;conservation_flora_exsitu
CFE_FORM;cord;cordiforme;Cordiforme;En forme de coeur;Cordiforme;En forme de coeur;conservation_flora_exsitu
CFE_FORM;delt;deltoïde;Deltoïde;En forme de delta;Deltoide;En forme de delta;conservation_flora_exsitu
CFE_FORM;ell;elliptique;Elliptique;En forme d'ellipse;Elliptique;En forme d'ellipse;conservation_flora_exsitu
CFE_FORM;efc;enFormeC;En forme de C;En forme de C;En forme de C;En forme de C;conservation_flora_exsitu
CFE_FORM;efd;enFormeD;En forme de D;En forme de D;En forme de D;En forme de D;conservation_flora_exsitu
CFE_FORM;irreg;irreguliere;Irrégulière;De forme irrégulière;Irrégulière;De forme irrégulière;conservation_flora_exsitu
CFE_FORM;line;lineaire;Linéaire;En forme de ligne;Linéaire;En forme de ligne;conservation_flora_exsitu
CFE_FORM;obl;oblongue;Oblongue;De forme allongée, plus longue que large;Oblongue;De forme allongée, plus longue que large;conservation_flora_exsitu
